tweet_ID	Annotation
520403849727987712	0
522567060250173440	1
526566945269612544	0
541654035304955905	0
541451056186949632	0
542026280104103938	1
527606250402742273	0
516816274983485440	0
519381813568217088	0
518903908404830208	1
538004775368155136	1
522794952296636416	0
539760699166056448	0
525025565175463936	1
538864557872001024	1
542728364859985921	0
519527891722584064	0
528025116878581760	0
517698572025077760	1
520422874562437120	1
522827064374992896	0
515910841527701504	1
522768715491053568	1
540888622090973184	0
522079157225021440	0
527104109816844289	1
524965405040050176	0
519096674774691840	1
540536260587048961	0
537455684250791937	0
540013231532933120	1
517393326014611456	0
539011171425460224	1
523359569289179136	0
540528606745612289	0
539894467554062336	1
526104893887881220	0
525579907628167168	0
516137957087248384	1
524703383320801283	1
539223381522915329	0
524707221025095680	0
540728265002852352	0
524062678403141632	1
516931004289003521	0
523954181984378881	1
521662861673005056	1
525387397031542784	1
528295206118895616	0
523224420936994816	0
541694753838866433	0
521030546496159744	1
524443651259117568	1
521915765147316224	1
527999623865319424	1
520296935987900417	0
524717588241465344	0
517044097493008384	0
522061449603317760	1
540569581493190656	1
521972848647098368	0
541334555085385729	1
540760100395569152	0
522882523513499648	1
539836075964121088	0
542144370741215235	0
524009698932965377	0
523062446106640384	1
539570265521287169	0
538634319519318016	1
517627436063006720	0
520053004566020096	1
517967505999298560	1
519963077132161024	0
516779947856523264	0
527838542798798848	1
540965098898984960	0
539849945302724608	1
540041941597962240	1
523312848273821697	0
540400410994147328	0
527165678726701056	1
528071457969274880	0
522250179840606209	0
520480475412844544	0
542724426182443008	0
519536902836617217	1
517747122591236096	0
524707596566286337	0
527061785619488768	0
542305219447492609	1
539205655047860224	0
522355003613143041	0
523954181984378881	1
518099421293453313	1
515905054260592640	1
538781845790683136	0
517325036697702401	1
527788527732682753	0
542714718465835008	0
524986100767817728	0
524782428972666880	0
518839274482180096	0
539549862065221633	0
525268753991208961	1
519406868574130176	0
519741176518164480	1
526964786085392384	1
526580112427610112	0
516982052915134464	0
516395823668924417	0
527840874684624896	1
527020449771683840	0
526254295516459008	1
525490212450099200	0
525161446725144577	1
527118204658020352	1
520294336404414464	1
539153509229531139	0
524341127307362305	1
518868091162214400	0
539449299487428608	1
540752122632232960	1
524349916584620034	1
525058963214446593	1
519528986250973184	0
520777155316551680	0
541356884683661314	1
524245196259594240	0
539852071982231552	0
541016235010686976	0
523415435270950912	0
516858752994394112	0
522040794333458434	0
527604280724062208	1
522891443061276673	0
522721814716235776	1
541358875577155585	1
527856622169636864	1
541499073803456513	1
521023906409611264	0
519169456476794880	0
525097724866494464	1
540959295240552448	0
519140132772122624	0
539569213073924096	0
538977921831288832	1
542003765923311616	0
525998632244629504	0
538609404820877313	1
522853015968317440	0
517281948977602560	1
541804236821250048	1
520744351954378752	1
526884583304749056	1
517427090896199681	0
540567572286935040	0
521681912944144386	1
520417710513995777	0
519611144701366273	0
525348089247571968	0
520437661061087232	0
518965037441241089	0
525373404984377345	0
526282501044854784	0
517742169638309888	0
520266754850062336	1
538814787980099585	1
542137053090439169	0
517259577671548928	1
542030197415890944	0
540525258135339008	0
521445016942968833	1
542067027750715392	0
542071124788797440	0
522063656071491584	1
520337273620275200	0
518551531369807873	0
521750514392788992	1
525211360850767874	0
525238348735340544	0
520286405533372416	0
516615842394832896	0
540654423416922112	0
522164591552626689	0
517765001797709824	1
522868102259032064	1
538014418462711808	0
523897801890349056	0
524333981404495872	0
521407450268704768	1
526644587449032704	0
517929431885557760	0
523471511282515968	1
519493896997306368	0
523878025562439682	0
517771411138830336	1
524440334873661440	0
541991829848068097	0
539603107349798912	1
541846921418399744	1
524604642798608384	0
527132576226750464	1
517402066373713920	1
520074027759443969	0
525015282625290240	1
522559843279052802	1
541862506008809474	1
525446962255237120	0
521661612059815936	0
520633232677949440	0
539915512398872576	1
518535722870247424	0
516862836669050880	0
539533053270691841	1
527415942989750273	0
517403468349603840	0
522736349624156160	0
518663475321921536	0
519177095566487552	0
524684652167331840	1
539693912877969408	1
516291130263363584	1
525492291612725249	1
522560223781736448	1
521734695483363328	1
517765572541431808	0
519640347731714048	0
517762463811772416	0
542339919017177089	0
521821804793712640	0
525133720500838400	0
537748774790389760	0
517221409521561601	1
517539683048230913	1
516667637385134080	0
541807455081353217	0
537527761758208000	0
517149735418089472	1
524924118215696384	1
524452948449824768	0
522583800237551616	0
542663678152433664	1
518885359187681282	1
523028310536622080	1
517896422428250114	1
519190969238159360	1
540565013124349953	1
538837851442774016	0
520409532724674560	0
524955392947019776	0
517028312384679936	1
522243829567848450	1
542182584038326273	0
527495043766956032	1
521506639405268992	0
523170670919032832	1
542726496990027776	1
540653473822679041	0
540386823302692864	0
539854600762064896	1
520416070575071234	0
539595947777748993	1
542377644688277504	0
521009167747014656	1
522991866388951040	1
540382854149341185	0
516980242968113154	1
524154923517493248	0
518319388823261184	0
526733634108411904	0
542187429243789312	1
542612605656137728	1
542765917659095040	0
525789846703714304	1
522770385209933824	1
537617458639536129	0
520435497491910656	0
518786606250348545	1
522511709593141248	0
538948261974122496	0
524785068087058432	0
516849699664699392	1
539874207535235073	0
542322102859468800	0
520721946846445568	1
540597853111197696	1
517020425474560002	0
541076214010892288	0
524611380498792448	1
